"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT08","WT11"
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-03","0.00","0.0","0.0","67","38","38",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-04","0.40","0.0","0.0","56","38","45",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-05","0.01","0.0","0.0","57","38","38",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-06","0.07","0.1","0.0","49","34","43",,,"    1",,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-07","0.00","0.0","0.0","56","36","42",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-08","0.02","0.0","0.0","70","42","57",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-09","0.93","0.0","0.0","57","34","34",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-10","0.00","0.0","0.0","57","34","36",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-11","0.00","0.0","0.0","63","34","34",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-12","0.00","0.0","0.0","74","34","40",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-13","0.00","0.0","0.0","78","40","57",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-14","0.00","0.0","0.0","79","47","49",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-15","0.02","0.0","0.0","57","49","51",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-16","0.00","0.0","0.0","81","50","51",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-17","0.00","0.0","0.0","70","43","46",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-18","0.00","0.0","0.0","66","45","47",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-19","0.00","0.0","0.0","73","45","46",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-20","0.00","0.0","0.0","78","45","53",,,,,,,,
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","2006-04-21","0.00","0.0","0.0","84","51","51",,,,,,,,
